instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1837,,﻿https://stjosephbasilica.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿guy_i_chabrat_901,﻿Right Rev.,﻿Guy Ignatius Chabrat,﻿D.D.,﻿Codajutor,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. David,﻿D.D.,﻿Bishop of Mauricastro,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿mar_i_spalding_901,﻿Rev.,﻿Martin J. Spalding,,﻿Pastor,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿jos_rogers_901,﻿Rev.,﻿Joseph Rogers,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_wathen_901,﻿Rev.,﻿J. C. Wathan,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9001,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,37.8107095,-85.47136896,,,﻿[visited once a month by] Rev. J. Haseltine,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,﻿of Haseltine,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9023,﻿church,not recorded,English,,﻿Casey's Creek,,,,,,﻿KY,,37.8107095,-85.47136896,,,﻿[visited] once a month [by] Rev. D. A. Deparcq,﻿dav_a_deparcq_901,﻿Rev.,﻿D. A. Deparcq,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0031,﻿church,not recorded,English,,﻿Clear Creek,,,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿fra_chambige_001,﻿Rev.,﻿F. Chambige,,,﻿of Elizabethtown,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0001,﻿church,not recorded,English,﻿3d and 4th Sundays,,,,,﻿Covington,,﻿KY,,38.5731349,-82.8301677,,,﻿attended from the Cathedral of Cincinnati,,,,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9024,﻿convent,not recorded,English,,﻿Bethlehem,,﻿Hardin County,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿fra_chambige_001,﻿Rev.,﻿F. Chambige,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9024,﻿convent,not recorded,English,,﻿Bethlehem,,﻿Hardin County,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿aug_degauquier_001,﻿Rev.,﻿A. Degaquier,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9024,﻿convent,not recorded,English,,﻿Bethlehem,,﻿Hardin County,,,,﻿KY,,38.5731349,-82.8301677,,,,,﻿Rev.,,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9025,﻿convent,not recorded,English,,﻿Nazareth,,﻿Nelson County,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9026,﻿convent,not recorded,English,,﻿Loretto,,,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿dav_a_deparcq_901,﻿Rev.,﻿D. A. Deparcq,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.64607733,-84.77069785,,,﻿[visited] once a month [by] Rev. E. McMahon,﻿e_mcmahon_901,﻿Rev.,﻿E. McMahon,,,﻿dw.[elling] at Lexington,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9003,﻿church,not recorded,English,,,,﻿Davies County,,,,﻿KY,,37.64607733,-84.77069785,,,,﻿joh_wathen_901,﻿Rev.,﻿J. C. Wathan,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9017,﻿church,not recorded,English,﻿once a month,,,﻿Grayson County,,,,﻿KY,,37.93178213,-85.38291799,,,,﻿aug_degauquier_001,﻿Rev.,﻿A. Degaquier,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross,English,,,,﻿Washington County,,,,﻿KY,,37.93178213,-85.38291799,,,,﻿r_byrne_901,﻿Rev.,﻿Robert Byrne,,,,,,,,1837,,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,,﻿,﻿,﻿Bardstown,Bardstown
